batch_uuid,provider_name,recipient_bank_name,amount,transaction_status,last_update
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,First Atlantic,14440.94,REJECTED,2019-08-30 17:45:19.596865+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Stanbic,12399.20,REJECTED,2019-08-30 17:45:19.583086+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,GCB,38195.23,REJECTED,2019-08-30 17:45:19.570079+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,GCB,32656.59,REJECTED,2019-08-30 17:45:19.556338+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,GCB,12801.97,REJECTED,2019-08-30 17:45:19.543073+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Ecobank,15459.24,REJECTED,2019-08-30 17:45:19.530451+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,OmniBank,16020.02,REJECTED,2019-08-30 17:45:19.517641+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Ecobank,11791.95,REJECTED,2019-08-30 17:45:19.504601+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Ecobank,11043.19,REJECTED,2019-08-30 17:45:19.491664+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Stanbic,15029.61,REJECTED,2019-08-30 17:45:19.478733+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,NIB,8780.44,REJECTED,2019-08-30 17:45:19.465751+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Ecobank,34254.25,REJECTED,2019-08-30 17:45:19.452776+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Ecobank,22067.80,REJECTED,2019-08-30 17:45:19.439986+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,HFC,23873.05,REJECTED,2019-08-30 17:45:19.427126+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,NIB,21413.04,REJECTED,2019-08-30 17:45:19.413844+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,GCB,9503.36,REJECTED,2019-08-30 17:45:19.400236+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Zenith Bank,7587.62,REJECTED,2019-08-30 17:45:19.386309+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,NIB,3049.70,REJECTED,2019-08-30 17:45:19.371768+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,GCB,2757.43,REJECTED,2019-08-30 17:45:19.358257+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,Bank Of Africa,11615.34,REJECTED,2019-08-30 17:45:19.344581+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,NIB,20537.26,REJECTED,2019-08-30 17:45:19.331409+00
4VC84hEbB2kMIn2o7ROcQoIoqBqU9ECeibsksAjSFo,ACH,NIB,43045.02,REJECTED,2019-08-30 17:45:19.305717+00
5fWy2q9EbvdzyAs8HyKLDGX4CY7b9fmC1xR7h8AQ,GHIPSS Instant Payment,Stanbic,5000.00,PAID,2019-08-23 16:33:32.443908+00
5nrSJEGoUuMv3gmxEchRWPAkRqlzSsmxvxOUznxQ,GHIPSS Instant Payment,GT Bank,1.00,APPROVAL PENDING,2019-09-04 15:35:38.425172+00
